ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000517.SZ,20260202,143462,2644.23,136309,2513.08,164091,3025.99,145264,2678.89,99845,1840.44,135352,2497.3,45272,839.06,35745,660.44,40464,763.54
300967.SZ,20260202,63844,14717.05,62193,14388.4,99767,23034.08,97571,22520.9,63737,14752.44,67924,15672.29,13155,3030.81,12814,2952.8,-7493,-1731.24
301066.SZ,20260202,90172,15787.8,84000,14703.29,80274,14012.79,87935,15355.67,68566,11961.33,56593,9861.17,7193,1240.91,17677,3082.7,2305,393.53
301129.SZ,20260202,8435,2209.75,8613,2256.8,5577,1460.03,5640,1476.03,1327,346.86,1086,283.81,0,0.0,0,0.0,38,12.74
605286.SH,20260202,5520,2091.8,5556,2104.91,2603,986.57,2735,1036.65,1170,443.22,1002,380.03,0,0.0,0,0.0,-1395,-525.22
301303.SZ,20260202,22473,3575.04,22896,3642.21,22405,3563.02,20878,3322.72,11027,1755.17,12541,1994.62,3765,599.64,3355,533.33,-9537,-1513.73
301377.SZ,20260202,14020,24683.13,11203,19752.24,13897,24496.1,11506,20301.5,7319,12913.01,10194,17947.93,1498,2637.17,3831,6727.74,-3277,-5706.92
000404.SZ,20260202,40382,2830.15,46010,3224.8,38564,2701.58,31636,2216.73,27314,1915.07,29207,2047.15,3842,269.53,3248,227.66,-26380,-1841.33
603920.SH,20260202,153439,97613.98,153073,97346.46,126369,80337.35,123883,78734.29,70800,44935.54,75840,48186.36,29066,18400.54,26879,17020.31,12010,8141.54
600104.SH,20260202,260094,36830.15,289951,41046.86,238374,33765.56,217282,30781.28,133672,18949.8,129975,18425.1,28860,4078.57,23792,3370.84,-45104,-6281.32
001222.SZ,20260202,8502,1913.06,6497,1461.93,4089,919.46,4205,946.01,1034,232.32,2349,527.58,0,0.0,574,129.33,267,62.39
600522.SH,20260202,656946,142886.36,685149,148960.31,562243,122440.05,561909,122385.05,402557,87841.97,370551,80883.94,125562,27348.85,129699,28287.93,-88069,-18644.62
000756.SZ,20260202,37550,5936.96,28152,4455.84,32346,5117.78,31542,4991.65,17815,2821.7,26670,4218.91,2379,377.42,3726,587.47,-22893,-3613.28
300862.SZ,20260202,16618,3787.74,19163,4365.96,15267,3478.33,13070,2980.88,5919,1348.77,6738,1530.66,1480,334.91,313,72.24,-7555,-1708.95
300807.SZ,20260202,5030,2672.27,3470,1843.99,3961,2102.24,4600,2443.25,3078,1636.53,3448,1832.72,200,105.94,751,397.02,161,86.32
300769.SZ,20260202,50893,20395.16,36399,14593.75,49606,19914.68,42209,16945.94,30447,12225.06,37368,15000.95,6800,2720.23,21771,8714.48,-15456,-6160.94
300729.SZ,20260130,17913,2556.29,14447,2063.24,13417,1915.58,16508,2357.71,8350,1193.85,7925,1130.85,0,0.0,800,113.92,-306,-37.31
