MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
003,2023-08-21 00:00:00,-50.870000000003,-980.559999999998,52050.87,900106.96,24740.9,25721.46,002279.SZ,久其软件,10.06,10320.39,-1.32,1020994515128.88,50462.36,52050.87,3451583
003,2023-08-18 00:00:00,-3832.0,-4798.79,55832.0,901087.52,22113.72,26912.51,001213.SZ,中铁特货,10.11,10458.51,-1.75,1035864389685.26,49026.23,55832,3254800
003,2023-08-17 00:00:00,658.18,-752.68,51341.82,905886.31,23715.98,24468.66,002670.SZ,国盛证券,9.98,10644.52,0.61,1056908270636.77,48184.64,51341.82,3209317
003,2023-08-16 00:00:00,311.339999999997,-718.540000000001,51688.66,906638.99,21561.46,22280.0,301316.SZ,慧博云通,20.0,10579.56,-0.94,1050150616396.91,43841.46,51688.66,2871849
003,2023-08-15 00:00:00,-4986.2,-6443.25,56986.2,907357.53,20611.37,27054.62,002907.SZ,华森制药,10.01,10679.73,-0.7,1057453803032.86,47665.99,56986.2,3145516
003,2023-08-14 00:00:00,-1126.77,-2677.08,53126.77,913800.78,24835.09,27512.17,002229.SZ,鸿博股份,10.01,10755.14,-0.5,1071091233590.0,52347.26,53126.77,3282533
003,2023-08-11 00:00:00,-5664.0,-6941.57,57664.0,916477.86,20495.09,27436.66,000006.SZ,深振业A,10.0,10808.87,-2.18,1079852308098.9,47931.75,57664,3050450
003,2023-08-10 00:00:00,471.910000000003,-769.32,51528.09,923419.43,20720.46,21489.78,300803.SZ,指南针,12.41,11050.22,0.1,1110549000557.19,42210.24,51528.09,2653308
003,2023-08-09 00:00:00,1405.54,80.169999999998,50594.46,924188.75,22988.37,22908.2,000813.SZ,德展健康,10.03,11039.45,-0.53,1112060969098.19,45896.57,50594.46,2842282
003,2023-08-08 00:00:00,-2360.28,-3556.66,54360.28,924108.58,23191.89,26748.55,002542.SZ,中化岩土,10.0,11098.45,-0.42,1116318116647.13,49940.44,54360.28,3017459
003,2023-08-07 00:00:00,-2154.46,-3573.99,54154.46,927665.24,25912.42,29486.41,000719.SZ,中原传媒,10.02,11145.03,-0.83,1123821896698.85,55398.83,54154.46,3219584
003,2023-08-04 00:00:00,3924.0,2626.23,48076.0,931239.23,34606.98,31980.75,000719.SZ,中原传媒,10.04,11238.06,0.67,1137080834931.72,66587.73,48076,3395038
003,2023-08-03 00:00:00,1295.57,9.029999999999,50704.43,928613.0,26505.1,26496.07,002146.SZ,荣盛发展,10.14,11163.42,0.53,1128162828392.83,53001.17,50704.43,3089271
003,2023-08-02 00:00:00,-380.480000000003,-1639.74,52380.48,928603.97,24735.06,26374.8,002992.SZ,宝明科技,10.0,11104.16,-0.35,1121858301879.63,51109.86,52380.48,3103762
003,2023-08-01 00:00:00,1313.61,36.390000000003,50686.39,930243.71,31051.9,31015.51,301316.SZ,慧博云通,20.0,11143.23,-0.36,1125885202444.39,62067.41,50686.39,3476214
003,2023-07-31 00:00:00,7681.51,6211.77,44318.49,930207.32,40498.22,34286.45,000572.SZ,海马汽车,10.08,11183.91,0.75,1132520088793.83,74784.67,44318.49,3664868
003,2023-07-28 00:00:00,9077.0,8021.1,42923.0,923995.55,34550.79,26529.69,000572.SZ,海马汽车,10.02,11100.4,1.62,1118336150886.56,61080.48,42923,3212720
003,2023-07-27 00:00:00,3359.18,2135.58,48640.82,915974.45,26984.0,24848.42,000572.SZ,海马汽车,10.09,10923.77,-0.41,1092831995373.97,51832.42,48640.82,2916917
