MUTUAL_TYPE,TRADE_DATE,FUND_INFLOW,NET_DEAL_AMT,QUOTA_BALANCE,ACCUM_DEAL_AMT,BUY_AMT,SELL_AMT,LEAD_STOCKS_CODE,LEAD_STOCKS_NAME,LS_CHANGE_RATE,INDEX_CLOSE_PRICE,INDEX_CHANGE_RATE,HOLD_MARKET_CAP,DEAL_AMT,QUOTA_BALANCE_TEXT,DEAL_NUM
005,2017-10-18 00:00:00,-427.460000000001,-571.98,26427.46,330918.61,5489.89,6061.87,002285.SZ,世联行,8.19,3381.79,0.29,479136901685.14,11551.76,26427.46,480450
005,2017-10-17 00:00:00,1810.86,1686.8,24189.14,331490.59,6787.0,5100.2,002285.SZ,世联行,10.02,3372.04,-0.19,473527621024.75,11887.2,24189.14,495003
005,2017-10-16 00:00:00,1572.5,1406.66,24427.5,329803.79,7307.72,5901.06,000786.SZ,北新建材,10.03,3378.47,-0.36,470368805040.73,13208.78,24427.5,516643
005,2017-10-13 00:00:00,410.0,272.45,25590.0,328397.13,5260.86,4988.41,603568.SH,伟明环保,10.01,3390.52,0.13,469087260313.7,10249.27,25590,427864
005,2017-10-12 00:00:00,486.150000000001,358.27,25513.85,328124.68,5429.49,5071.22,603888.SH,新华网,10.01,3386.1,-0.06,467185638645.49,10500.71,25513.85,464729
005,2017-10-11 00:00:00,1744.92,1596.0,24255.08,327766.41,7540.02,5944.02,600876.SH,凯盛新能,7.44,3388.28,0.16,464281639262.56,13484.04,24255.08,510594
005,2017-10-10 00:00:00,4219.56,4087.85,21780.44,326170.41,9412.07,5324.22,002131.SZ,利欧股份,10.16,3382.99,0.26,456588845235.37,14736.29,21780.44,558777
005,2017-10-09 00:00:00,7683.25,7564.2,18316.75,322082.56,12298.75,4734.55,300398.SZ,飞凯材料,9.98,3374.38,0.76,451416663776.94,17033.3,18316.75,625179
005,2017-09-29 00:00:00,1233.0,1129.61,24767.0,314518.36,4685.89,3556.28,600460.SH,士兰微,10.03,3348.94,0.28,436926989782.36,8242.17,24767,384736
005,2017-09-28 00:00:00,-296.309999999999,-374.46,26296.31,313388.75,4151.86,4526.32,603019.SH,中科曙光,9.99,3339.64,-0.17,433297948373.18,8678.18,26296.31,365332
005,2017-09-27 00:00:00,734.040000000001,648.14,25265.96,313763.21,4576.31,3928.17,600498.SH,烽火通信,10.0,3345.27,0.05,431396067432.99,8504.48,25265.96,372677
005,2017-09-26 00:00:00,110.5,27.73,25889.5,313115.07,4898.33,4870.6,000830.SZ,鲁西化工,9.97,3343.58,0.06,430001974607.361,9768.93,25889.5,405338
005,2017-09-25 00:00:00,-1677.08,-1769.26,27677.08,313087.34,4808.22,6577.48,000078.SZ,海王生物,9.87,3341.55,-0.33,430603497646.7,11385.7,27677.08,443574
005,2017-09-22 00:00:00,610.0,484.5,25390.0,314856.6,5188.35,4703.85,000969.SZ,安泰科技,10.01,3352.53,-0.16,433153753453.99,9892.2,25390,395972
005,2017-09-21 00:00:00,1284.14,1198.34,24715.86,314372.1,6413.97,5215.63,603355.SH,莱克电气,10.0,3357.81,-0.24,431067885257.79,11629.6,24715.86,453887
005,2017-09-20 00:00:00,2142.8,2005.82,23857.2,313173.76,6636.86,4631.04,002185.SZ,华天科技,10.06,3366.0,0.27,429268664333.09,11267.9,23857.2,487233
