trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250321,300065.SZ,海兰信,19.43,8.6689,43.95,5689902801.0,320543203.3,443097999.73,763641203.03,122554796.43,2.15,13.42,12743099632.3,日换手率达到30%的前5只证券
20250321,300067.SZ,安诺其,7.41,15.6006,44.13,3031075279.0,141316721.33,291127102.12,432443823.45,149810380.79,4.94,14.27,6946754076.21,日换手率达到30%的前5只证券
20250321,300084.SZ,海默科技,9.59,20.025,51.55,1583450074.0,137162406.79,130648394.71,267810801.5,-6514012.08,-0.41,16.91,3304690830.56,日换手率达到30%的前5只证券
20250321,300084.SZ,海默科技,9.59,20.025,51.55,2309053814.0,169531352.35,173813390.03,343344742.38,4282037.68,0.19,14.87,3304690830.56,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250321,300569.SZ,天能重工,6.32,19.9241,12.56,770810998.0,109548785.0,164297027.78,273845812.78,54748242.78,7.1,35.53,6431500353.52,日涨幅达到15%的前5只证券
20250321,300569.SZ,天能重工,6.32,19.9241,12.56,1208841012.0,133133276.3,169533780.48,302667056.78,36400504.18,3.01,25.04,6431500353.52,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250321,300810.SZ,中科海讯,44.9,7.9586,25.79,8019624582.7,8019624582.7,8019624582.7,16039249165.4,0.0,0.0,200.0,5118002830.0,严重异常期间日收盘价格涨幅偏离值累计达到100%的证券
20250321,301079.SZ,邵阳液压,29.06,19.9835,39.82,789379368.0,77576600.5,88330030.14,165906630.64,10753429.64,1.36,21.02,2003158805.44,日涨幅达到15%的前5只证券
20250321,301079.SZ,邵阳液压,29.06,19.9835,39.82,1357209083.0,129716139.45,138636018.16,268352157.61,8919878.71,0.66,19.77,2003158805.44,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250321,301137.SZ,哈焊华通,21.9,17.3633,22.61,489891257.0,35842667.0,65281603.41,101124270.41,29438936.41,6.01,20.64,2227269420.0,日涨幅达到15%的前5只证券
20250321,301298.SZ,东利机械,20.96,4.9049,41.64,799511851.0,149911413.21,37583835.06,187495248.27,-112327578.15,-14.05,23.45,2018640308.0,日换手率达到30%的前5只证券
20250321,301298.SZ,东利机械,20.96,4.9049,41.64,1537431402.0,204501548.24,144705891.26,349207439.5,-59795656.98,-3.89,22.71,2018640308.0,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250321,600097.SH,开创国际,11.73,10.0375,2.67,75393402.0,25140909.0,52057740.0,77198649.0,26916831.0,35.7,102.39,2826185837.07,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,600097.SH,开创国际,11.73,10.0375,2.67,188322851.0,32323836.0,60108666.0,92432502.0,27784830.0,14.75,49.08,2826185837.07,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,600203.SH,福日电子,10.06,-10.0179,17.74,1078826258.0,62426794.0,72440255.67,134867049.67,10013461.67,0.93,12.5,5965460104.92,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250321,600243.SH,青海华鼎,3.97,9.9723,34.7,600172931.0,61643943.9,68854715.0,130498658.9,7210771.1,1.2,21.74,1742234500.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250321,600320.SH,振华重工,4.92,10.0671,3.49,567077307.0,127415880.25,101201398.16,228617278.41,-26214482.09,-4.62,40.32,16873637280.6,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,600320.SH,振华重工,4.92,10.0671,3.49,1182244498.0,176076572.53,165209278.52,341285851.05,-10867294.01,-0.92,28.87,16873637280.6,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,600610.SH,中毅达,7.96,8.7432,17.49,3032018419.0,159845678.64,187653508.86,347499187.5,27807830.22,0.92,11.46,5743086091.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,600797.SH,浙大网新,14.15,4.0441,40.35,5901851825.0,456796777.82,573029185.66,1029825963.48,116232407.84,1.97,17.45,14539498135.5,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250321,600960.SH,渤海汽车,4.23,-4.7297,11.68,499444897.0,61408236.4,31693315.44,93101551.84,-29714920.96,-5.95,18.64,4020680641.14,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
20250321,601608.SH,中信重工,5.26,10.0418,3.76,885066771.0,167732388.47,295190123.7,462922512.17,127457735.23,14.4,52.3,23935987311.8,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,601890.SH,亚星锚链,10.38,9.9576,17.63,2682759680.0,188253731.58,262106775.74,450360507.32,73853044.16,2.75,16.79,9958572000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,603028.SH,赛福天,8.31,10.0662,2.48,59210744.0,21791313.0,36337968.0,58129281.0,14546655.0,24.57,98.17,2385302400.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,603028.SH,赛福天,8.31,10.0662,2.48,286591942.0,100115031.0,63201820.0,163316851.0,-36913211.0,-12.88,56.99,2385302400.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,603072.SH,天和磁材,40.78,-6.4679,28.35,767132320.0,50886906.79,120501918.84,171388825.63,69615012.05,9.07,22.34,2640326628.28,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250321,603211.SH,晋拓股份,22.92,3.1503,46.56,720267601.0,50267274.3,37548663.0,87815937.3,-12718611.3,-1.77,12.19,1557459840.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250321,603280.SH,南方路机,28.0,10.0196,32.98,249020109.0,21878427.81,75644416.52,97522844.33,53765988.71,21.59,39.16,782366676.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,603315.SH,福鞍股份,17.43,-10.0155,17.55,968496783.0,156255653.56,61378373.0,217634026.56,-94877280.56,-9.8,22.47,5468248781.52,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250321,603767.SH,中马传动,20.43,10.0162,21.15,1603329078.0,183325158.43,169771895.8,353097054.23,-13553262.63,-0.85,22.02,6305341545.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,603789.SH,星光农机,8.25,-10.0327,11.57,252109361.0,47463915.5,15856567.0,63320482.5,-31607348.5,-12.54,25.12,2145000000.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250321,603900.SH,莱绅通灵,6.91,-10.026,11.43,271919761.0,40028684.0,23331992.0,63360676.0,-16696692.0,-6.14,23.3,2352674234.4,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250321,603949.SH,雪龙集团,21.31,10.0155,14.42,641062135.0,51786125.3,48693406.0,100479531.3,-3092719.3,-0.48,15.67,4479474388.94,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250321,605118.SH,力鼎光电,22.86,-10.0,4.21,402529960.0,69589260.6,39202042.0,108791302.6,-30387218.6,-7.55,27.03,9306671760.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250321,831689.BJ,克莱特,49.29,19.927,39.8,709566100.0,46085786.85,55314384.13,101400170.98,9228597.28,1.3,14.29,1834111311.93,当日价格振幅达到30%的前5只股票
20250321,834639.BJ,晨光电缆,8.39,11.421,28.39,286054000.0,34429277.55,36614122.69,71043400.24,2184845.14,0.76,24.84,983441258.37,当日换手率达到20%的前5只股票
20250321,873570.BJ,坤博精工,52.46,8.8834,32.03,381573100.0,40810675.18,42527314.93,83337990.11,1716639.75,0.45,21.84,1174563766.92,当日换手率达到20%的前5只股票
20250321,900947.SH,振华B股,0.272,6.6667,1.04,5380473.0,733497.19,1985590.48,2719087.67,1252093.29,23.27,50.54,16873637280.6,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250321,920082.BJ,方正阀门,25.84,7.6667,50.34,423460000.0,48902784.96,28008799.7,76911584.66,-20893985.26,-4.93,18.16,838053603.6,当日换手率达到20%的前5只股票
20250321,920088.BJ,科力股份,28.8,2.8204,25.34,147392600.0,19248731.81,15828237.6,35076969.41,-3420494.21,-2.32,23.8,574560000.0,当日换手率达到20%的前5只股票
20250324,000422.SZ,湖北宜化,14.74,10.0,10.54,1605044117.0,242298090.42,239831402.87,482129493.29,-2466687.55,-0.15,30.04,15592225395.34,日涨幅偏离值达到7%的前5只证券
