ts_code,name,count,exchange,list_date,type
885888.TI,C2M概念,39.0,A,20200330,N
885890.TI,抖音概念(字节概念),203.0,A,20200424,N
885893.TI,国家大基金持股,48.0,A,20200520,N
885894.TI,海南自贸区,29.0,A,20200603,N
885897.TI,中芯国际概念,86.0,A,20200703,N
885898.TI,免税店,28.0,A,20200706,N
885899.TI,新型烟草(电子烟),53.0,A,20200708,N
885900.TI,NMN概念,25.0,A,20200716,N
885901.TI,可降解塑料,81.0,A,20200805,N
885902.TI,汽车拆解概念,23.0,A,20200805,N
885903.TI,环氧丙烷,24.0,A,20200813,N
885904.TI,代糖概念,23.0,A,20200814,N
885905.TI,注册制次新股,86.0,A,20200825,N
885907.TI,科创次新股,17.0,A,20200824,N
885908.TI,第三代半导体,157.0,A,20200907,N
885909.TI,辅助生殖,72.0,A,20201023,N
885910.TI,拼多多概念,40.0,A,20201026,N
885911.TI,社区团购,51.0,A,20201110,N
885912.TI,有机硅概念,49.0,A,20201113,N
885913.TI,医美概念,93.0,A,20201116,N
885914.TI,煤炭概念,85.0,A,20201221,N
885915.TI,物业管理,178.0,A,20210108,N
885916.TI,同花顺漂亮100,100.0,A,20210120,N
885918.TI,快手概念,49.0,A,20210126,N
885919.TI,碳中和,267.0,A,20210302,N
885920.TI,光伏建筑一体化,126.0,A,20210309,N
885921.TI,储能,793.0,A,20210423,N
885922.TI,盐湖提锂,47.0,A,20210602,N
885923.TI,鸿蒙概念,260.0,A,20210603,N
885924.TI,共同富裕示范区,184.0,A,20210615,N
885925.TI,MCU芯片,88.0,A,20210621,N
885926.TI,牙科医疗,29.0,A,20210622,N
885927.TI,CRO概念,72.0,A,20210707,N
885928.TI,钠离子电池,134.0,A,20210715,N
885929.TI,专精特新,1151.0,A,20210818,N
885930.TI,工业母机,109.0,A,20210824,N
885931.TI,PVDF概念,17.0,A,20210903,N
885933.TI,NFT概念,71.0,A,20210908,N
885934.TI,元宇宙,180.0,A,20210909,N
885935.TI,抽水蓄能,70.0,A,20210909,N
885936.TI,绿色电力,367.0,A,20210923,N
885937.TI,培育钻石,18.0,A,20211018,N
885938.TI,换电概念,92.0,A,20211019,N
885939.TI,海峡两岸,302.0,A,20211103,N
885940.TI,WiFi6,58.0,A,20211104,N
885942.TI,数据安全,173.0,A,20211129,N
885943.TI,EDR概念,20.0,A,20211206,N
885944.TI,动力电池回收,91.0,A,20211209,N
885945.TI,汽车芯片,138.0,A,20211209,N
885946.TI,传感器,261.0,A,20211210,N
885947.TI,DRG/DIP,22.0,A,20211215,N
885948.TI,柔性直流输电,54.0,A,20211216,N
885950.TI,虚拟数字人,170.0,A,20211222,N
885951.TI,预制菜,100.0,A,20220105,N
885952.TI,幽门螺杆菌概念,74.0,A,20220106,N
885953.TI,电子纸,24.0,A,20220110,N
885955.TI,重组蛋白,57.0,A,20220118,N
885956.TI,智慧政务,212.0,A,20220120,N
885957.TI,东数西算(算力),352.0,A,20220126,N
885958.TI,硅能源,61.0,A,20220127,N
885959.TI,PCB概念,182.0,A,20220128,N
885960.TI,民爆概念,25.0,A,20220207,N
885961.TI,净水概念,76.0,A,20220214,N
885962.TI,土壤修复,91.0,A,20220218,N
885963.TI,智慧灯杆,64.0,A,20220221,N
885964.TI,俄乌冲突概念,75.0,A,20220225,N
885965.TI,中俄贸易概念,175.0,A,20220228,N
885966.TI,跨境支付(CIPS),73.0,A,20220228,N
885967.TI,化肥,71.0,A,20220304,N
885968.TI,托育服务,16.0,A,20220307,N
885969.TI,金属镍,38.0,A,20220309,N
885970.TI,金属锌,41.0,A,20220309,N
885971.TI,金属铅,36.0,A,20220309,N
885972.TI,金属回收,79.0,A,20220309,N
885973.TI,金属铜,90.0,A,20220310,N
885974.TI,两轮车,64.0,A,20220310,N
885975.TI,电子身份证,40.0,A,20220314,N
885976.TI,数字经济,499.0,A,20220314,N
885977.TI,国资云,53.0,A,20220317,N
885978.TI,低辐射玻璃(Low-E),12.0,A,20220318,N
885980.TI,华为鲲鹏,175.0,A,20220318,N
885981.TI,家庭医生,27.0,A,20220321,N
885982.TI,华为欧拉,46.0,A,20220322,N
885985.TI,毛发医疗,25.0,A,20220325,N
885986.TI,碳交易,109.0,A,20220328,N
885987.TI,MicroLED概念,54.0,A,20220329,N
885988.TI,统一大市场,118.0,A,20220412,N
885989.TI,肝炎概念,140.0,A,20220425,N
885990.TI,露营经济,54.0,A,20220509,N
885991.TI,新型城镇化,217.0,A,20220510,N
885992.TI,噪声防治,19.0,A,20220511,N
885994.TI,猴痘概念,74.0,A,20220524,N
885995.TI,粮食概念,47.0,A,20220526,N
885996.TI,超超临界发电,87.0,A,20220608,N
885997.TI,比亚迪概念,650.0,A,20220609,N
885998.TI,F5G概念,37.0,A,20220614,N
885999.TI,汽车热管理,133.0,A,20220620,N
886000.TI,一体化压铸,56.0,A,20220628,N
886001.TI,高压快充,119.0,A,20220704,N
886002.TI,机器视觉,243.0,A,20220704,N
886003.TI,钒电池,37.0,A,20220704,N
886004.TI,虚拟电厂,137.0,A,20220711,N
886005.TI,生物质能发电,59.0,A,20220719,N
886006.TI,钙钛矿电池,72.0,A,20220721,N
886007.TI,TOPCON电池,77.0,A,20220721,N
886008.TI,减速器,129.0,A,20220729,N
886009.TI,先进封装,143.0,A,20220808,N
886010.TI,空气能热泵,53.0,A,20220811,N
886011.TI,光热发电,43.0,A,20220818,N
886012.TI,宠物经济,125.0,A,20220826,N
886013.TI,信创,301.0,A,20220916,N
886015.TI,创新药,269.0,A,20221020,N
886016.TI,供销社,15.0,A,20221101,N
886017.TI,Web3.0,66.0,A,20221110,N
886018.TI,高压氧舱,11.0,A,20221114,N
