date,sentiment,机器人_热度,AI/DeepSeek_热度,半导体_热度,创新药_热度,军工_热度,商业航天_热度,新能源_热度,福建/台湾_热度,机器人_热度_pct,AI/DeepSeek_热度_pct,半导体_热度_pct,创新药_热度_pct,军工_热度_pct,商业航天_热度_pct,新能源_热度_pct,福建/台湾_热度_pct
2022-04-29,-128,0,4,28,26,36,18,28,4,-100.0,inf,-65.85365853658536,8.333333333333325,-75.34246575342466,-30.76923076923077,-63.1578947368421,-88.23529411764706
2022-04-30,-40,0,4,22,12,44,34,24,20,,0.0,-21.42857142857143,-53.84615384615385,22.222222222222232,88.88888888888889,-14.28571428571429,400.0
2022-05-31,146,12,14,50,42,134,62,174,46,inf,250.0,127.2727272727273,250.0,204.54545454545453,82.35294117647058,625.0,129.99999999999997
2022-06-30,94,10,22,60,38,124,26,120,74,-16.666666666666664,57.14285714285714,19.999999999999996,-9.523809523809524,-7.462686567164178,-58.06451612903225,-31.034482758620683,60.86956521739131
2022-07-29,-48,4,12,24,8,22,12,50,22,-60.0,-45.45454545454546,-60.0,-78.94736842105263,-82.25806451612902,-53.84615384615385,-58.33333333333333,-70.27027027027026
2022-07-30,-24,0,24,28,10,34,22,42,30,-100.0,100.0,16.666666666666675,25.0,54.54545454545454,83.33333333333333,-16.000000000000004,36.36363636363635
2022-07-31,-14,4,10,6,4,50,22,82,40,inf,-58.33333333333333,-78.57142857142857,-60.0,47.058823529411775,0.0,95.23809523809523,33.33333333333333
2022-08-30,-28,0,2,2,8,10,12,22,16,-100.0,-80.0,-66.66666666666667,100.0,-80.0,-45.45454545454546,-73.17073170731707,-60.0
2022-08-31,-12,8,26,32,48,62,28,202,36,inf,1200.0,1500.0,500.0,520.0,133.33333333333334,818.1818181818181,125.0
2022-09-29,-28,0,2,2,0,2,2,4,0,-100.0,-92.3076923076923,-93.75,-100.0,-96.7741935483871,-92.85714285714286,-98.01980198019803,-100.0
2022-09-30,80,8,4,68,32,38,8,192,36,inf,100.0,3300.0,inf,1800.0,300.0,4700.0,inf
2022-10-29,4,0,0,0,0,16,14,26,8,-100.0,-100.0,-100.0,-100.0,-57.89473684210527,75.0,-86.45833333333334,-77.77777777777779
2022-10-30,-38,2,2,10,10,28,0,26,28,inf,inf,inf,inf,75.0,-100.0,0.0,250.0
2022-10-31,50,6,8,52,24,78,32,120,32,200.0,300.0,420.0,140.0,178.57142857142856,inf,361.5384615384615,14.28571428571428
2022-11-29,34,2,4,16,8,10,18,36,14,-66.66666666666667,-50.0,-69.23076923076923,-66.66666666666667,-87.17948717948718,-43.75,-70.0,-56.25
2022-11-30,150,0,6,50,26,30,18,124,26,-100.0,50.0,212.5,225.0,200.0,0.0,244.44444444444446,85.71428571428572
2022-12-30,-64,6,2,56,38,54,12,78,36,inf,-66.66666666666667,12.00000000000001,46.153846153846146,80.0,-33.333333333333336,-37.096774193548384,38.46153846153846
2022-12-31,-56,0,10,4,8,42,12,50,10,-100.0,400.0,-92.85714285714286,-78.94736842105263,-22.22222222222222,0.0,-35.89743589743589,-72.22222222222221
2023-01-31,-38,30,86,144,60,64,8,212,56,inf,760.0,3500.0,650.0,52.38095238095237,-33.333333333333336,324.0,459.99999999999994
2023-02-28,260,14,196,112,32,80,34,220,40,-53.333333333333336,127.90697674418605,-22.22222222222222,-46.666666666666664,25.0,325.0,3.7735849056603765,-28.57142857142857
2023-03-31,100,22,220,168,18,66,42,136,68,57.14285714285714,12.244897959183664,50.0,-43.75,-17.500000000000004,23.529411764705888,-38.18181818181819,70.0
2023-04-28,-52,2,26,16,0,36,4,22,20,-90.9090909090909,-88.18181818181819,-90.47619047619048,-100.0,-45.45454545454546,-90.47619047619048,-83.82352941176471,-70.58823529411764
2023-04-29,22,16,86,18,4,64,8,18,10,700.0,230.76923076923075,12.5,inf,77.77777777777777,100.0,-18.181818181818176,-50.0
2023-04-30,24,2,20,10,2,24,6,20,14,-87.5,-76.74418604651163,-44.44444444444444,-50.0,-62.5,-25.0,11.111111111111116,39.99999999999999
2023-05-31,118,42,300,164,24,98,24,146,74,2000.0,1400.0,1539.9999999999998,1100.0,308.3333333333333,300.0,630.0,428.57142857142856
2023-06-30,338,118,178,168,48,82,18,268,36,180.95238095238093,-40.666666666666664,2.4390243902439046,100.0,-16.326530612244895,-25.0,83.56164383561644,-51.35135135135135
2023-07-30,-4,0,0,0,0,2,6,2,0,-100.0,-100.0,-100.0,-100.0,-97.5609756097561,-66.66666666666667,-99.25373134328358,-100.0
2023-07-31,236,30,98,92,46,102,46,138,58,inf,inf,inf,inf,5000.0,666.6666666666667,6800.0,inf
2023-08-31,146,34,230,142,22,128,32,118,108,13.33333333333333,134.69387755102042,54.347826086956516,-52.17391304347826,25.49019607843137,-30.434782608695656,-14.492753623188403,86.20689655172413
2023-09-29,46,10,56,14,4,60,14,24,14,-70.58823529411764,-75.65217391304347,-90.14084507042254,-81.81818181818181,-53.125,-56.25,-79.66101694915254,-87.03703703703704
2023-09-30,54,0,28,16,6,52,32,26,12,-100.0,-50.0,14.28571428571428,50.0,-13.33333333333333,128.57142857142856,8.333333333333325,-14.28571428571429
2023-10-31,176,28,276,184,96,118,56,194,46,inf,885.7142857142858,1050.0,1500.0,126.92307692307692,75.0,646.1538461538462,283.33333333333337
2023-11-30,380,42,236,112,26,86,16,108,56,50.0,-14.492753623188403,-39.13043478260869,-72.91666666666667,-27.118644067796616,-71.42857142857143,-44.329896907216494,21.739130434782616
2023-12-29,102,22,54,24,32,66,48,76,28,-47.61904761904761,-77.11864406779661,-78.57142857142857,23.076923076923084,-23.25581395348837,200.0,-29.629629629629626,-50.0
2023-12-30,32,0,36,18,0,94,36,50,14,-100.0,-33.333333333333336,-25.0,-100.0,42.42424242424243,-25.0,-34.210526315789465,-50.0
2023-12-31,22,2,16,24,30,88,38,48,22,inf,-55.55555555555556,33.33333333333333,inf,-6.382978723404253,5.555555555555558,-4.0000000000000036,57.14285714285714
2024-01-31,46,14,140,96,12,134,44,88,122,600.0,775.0,300.0,-60.0,52.27272727272727,15.789473684210531,83.33333333333333,454.54545454545456
2024-02-29,528,34,344,218,50,118,66,174,66,142.85714285714283,145.71428571428572,127.08333333333334,316.6666666666667,-11.940298507462687,50.0,97.72727272727273,-45.90163934426229
2024-03-27,34,10,54,8,6,18,8,18,8,-70.58823529411764,-84.30232558139534,-96.3302752293578,-88.0,-84.7457627118644,-87.87878787878788,-89.65517241379311,-87.87878787878788
2024-03-28,46,6,62,34,2,30,8,16,16,-40.0,14.814814814814813,325.0,-66.66666666666667,66.66666666666667,0.0,-11.111111111111116,100.0
2024-03-29,32,6,56,20,10,22,10,34,18,0.0,-9.677419354838712,-41.17647058823529,400.0,-26.66666666666667,25.0,112.5,12.5
2024-03-30,30,10,146,88,28,126,40,66,28,66.66666666666667,160.71428571428572,340.00000000000006,179.99999999999997,472.72727272727275,300.0,94.11764705882352,55.55555555555556
2024-03-31,126,38,66,34,18,126,38,36,42,280.0,-54.794520547945204,-61.36363636363637,-35.71428571428571,0.0,-5.000000000000004,-45.45454545454546,50.0
2024-04-26,90,4,54,14,0,18,8,18,12,-89.47368421052632,-18.181818181818176,-58.82352941176471,-100.0,-85.71428571428572,-78.94736842105263,-50.0,-71.42857142857143
2024-04-27,44,6,34,14,2,42,26,10,4,50.0,-37.03703703703704,0.0,inf,133.33333333333334,225.0,-44.44444444444444,-66.66666666666667
2024-04-28,12,2,22,2,0,14,4,16,16,-66.66666666666667,-35.29411764705882,-85.71428571428572,-100.0,-66.66666666666667,-84.61538461538461,60.00000000000001,300.0
2024-04-29,112,30,32,12,12,24,16,42,12,1400.0,45.45454545454546,500.0,inf,71.42857142857142,300.0,162.5,-25.0
2024-04-30,-46,22,162,52,54,102,30,104,72,-26.66666666666667,406.25,333.3333333333333,350.0,325.0,87.5,147.61904761904762,500.0
2024-05-27,68,2,44,52,2,22,10,14,14,-90.9090909090909,-72.8395061728395,0.0,-96.2962962962963,-78.43137254901961,-66.66666666666667,-86.53846153846155,-80.55555555555556
2024-05-28,58,4,50,42,8,30,10,26,8,100.0,13.636363636363647,-19.23076923076923,300.0,36.36363636363635,0.0,85.71428571428572,-42.85714285714286
