最小高开,最小振幅,大盘暴涨阈值,大盘暴跌阈值,避开小跌,企业类型,卖出策略,交易次数,胜率,平均收益,总收益,最大回撤
4.0,1.0,2.0,-2.0,是,地方国有企业+中央国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,2.0,1.5,-1.5,是,地方国有企业+中央国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,2.0,1.5,-1.5,是,地方国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,2.0,2.0,-2.0,是,地方国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,2.0,2.0,-2.0,是,地方国有企业+中央国有企业,次日卖出,60,90.0,5.342106641196495,320.5263984717897,-2.01680672268908
4.0,2.0,1.0,-1.0,是,不限,次日卖出,302,83.11258278145695,5.317093934469576,1605.762368209812,-10.0
4.0,1.0,1.0,-1.0,是,不限,次日卖出,307,82.73615635179154,5.299824842308077,1627.0462265885794,-10.0
3.5,2.0,1.5,-1.5,否,不限,次日卖出,528,81.62878787878788,5.255442428468028,2774.8736022311186,-10.00000000000001
4.0,2.0,1.5,-1.5,是,不限,次日卖出,286,83.56643356643356,5.255216946336381,1502.9920466522049,-9.97666277712953
3.5,1.0,1.5,-1.5,否,不限,次日卖出,533,81.42589118198875,5.24607403491536,2796.1574606098866,-10.00000000000001
4.0,1.0,1.5,-1.5,是,不限,次日卖出,290,83.10344827586206,5.2388363311966035,1519.2625360470151,-9.97666277712953
4.0,2.0,2.0,-2.0,是,不限,次日卖出,285,83.50877192982456,5.204792555902474,1483.365878432205,-9.97666277712953
4.0,1.0,2.0,-2.0,是,不限,次日卖出,289,83.04498269896193,5.189053175872025,1499.6363678270152,-9.97666277712953
3.5,2.0,1.5,-1.5,否,地方国有企业,次日卖出,115,85.21739130434783,5.1673158126805925,594.2413184582681,-6.552229029399291
3.5,2.0,1.5,-1.5,否,地方国有企业+中央国有企业,次日卖出,115,85.21739130434783,5.1673158126805925,594.2413184582681,-6.552229029399291
3.5,1.0,1.5,-1.5,否,地方国有企业+中央国有企业,次日卖出,116,85.34482758620689,5.16598868484677,599.2546874422253,-6.552229029399291
3.5,1.0,1.5,-1.5,否,地方国有企业,次日卖出,116,85.34482758620689,5.16598868484677,599.2546874422253,-6.552229029399291
3.5,2.0,1.0,-1.0,是,不限,次日卖出,362,82.04419889502762,5.096072786822615,1844.7783488297866,-10.981328037473002
3.5,1.0,1.0,-1.0,是,不限,次日卖出,367,81.74386920980926,5.084638166780801,1866.062207208554,-10.981328037472995
4.0,2.0,1.0,-1.0,是,不限,动态止盈,302,58.94039735099338,5.0808485179327,1534.4162524156754,-36.51331609681318
4.0,1.0,1.0,-1.0,是,不限,动态止盈,307,58.95765472312704,5.080211514710184,1559.6249350160265,-36.5133160968132
3.5,2.0,1.0,-1.0,是,地方国有企业+中央国有企业,次日卖出,76,88.1578947368421,5.07423680023413,385.6419968177939,-2.787456445993033
3.5,2.0,1.0,-1.0,是,地方国有企业,次日卖出,76,88.1578947368421,5.07423680023413,385.6419968177939,-2.787456445993033
3.5,1.0,1.0,-1.0,是,地方国有企业,次日卖出,77,88.31168831168831,5.073446309113651,390.6553658017511,-2.787456445993033
3.5,1.0,1.0,-1.0,是,地方国有企业+中央国有企业,次日卖出,77,88.31168831168831,5.073446309113651,390.6553658017511,-2.787456445993033
3.5,2.0,1.5,-1.5,否,不限,动态止盈,528,58.71212121212122,5.070347248217929,2677.1433470590664,-39.394879613887156
3.5,1.0,1.5,-1.5,否,不限,动态止盈,533,58.724202626641656,5.070078854895717,2702.3520296594174,-39.394879613887156
3.5,2.0,1.5,-1.5,是,不限,次日卖出,344,82.55813953488372,5.040160344679525,1733.8151585697567,-10.981328037473016
3.5,1.0,1.5,-1.5,是,不限,次日卖出,348,82.18390804597702,5.028981747024618,1750.085647964567,-10.981328037472995
3.5,2.0,2.0,-2.0,是,不限,次日卖出,343,82.5072886297376,4.997635540378299,1714.1889903497568,-10.981328037472995
3.5,1.0,2.0,-2.0,是,不限,次日卖出,347,82.13256484149855,4.986914927217772,1730.459479744567,-10.98132803747301
3.5,2.0,2.0,-2.0,是,地方国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,2.0,2.0,-2.0,是,地方国有企业+中央国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,1.0,1.5,-1.5,是,地方国有企业+中央国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,1.0,1.5,-1.5,是,地方国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,1.0,2.0,-2.0,是,地方国有企业+中央国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,1.0,2.0,-2.0,是,地方国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,2.0,1.5,-1.5,是,地方国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
3.5,2.0,1.5,-1.5,是,地方国有企业+中央国有企业,次日卖出,72,87.5,4.874597176045438,350.9709966752716,-2.787456445993025
4.0,1.0,1.5,-1.5,否,地方国有企业+中央国有企业,动态止盈,98,62.244897959183675,4.749063958531937,465.40826793612985,-28.306010123240235
4.0,1.0,1.5,-1.5,否,地方国有企业,动态止盈,98,62.244897959183675,4.749063958531937,465.40826793612985,-28.306010123240235
4.0,2.0,1.5,-1.5,是,不限,动态止盈,286,58.74125874125874,4.693701983418786,1342.3987672577728,-36.513316096813185
4.0,2.0,2.0,-2.0,是,不限,动态止盈,285,58.59649122807018,4.6663700216763955,1329.9154561777727,-36.51331609681316
4.0,1.0,1.5,-1.5,是,不限,动态止盈,290,58.620689655172406,4.657398664955203,1350.6456128370087,-36.51331609681319
4.0,1.0,2.0,-2.0,是,不限,动态止盈,289,58.47750865051903,4.630319383242244,1338.1623017570087,-36.513316096813185
4.0,2.0,1.5,-1.5,否,地方国有企业,动态止盈,97,61.855670103092784,4.6231590815980885,448.4464309150146,-28.306010123240235
4.0,2.0,1.5,-1.5,否,地方国有企业+中央国有企业,动态止盈,97,61.855670103092784,4.6231590815980885,448.4464309150146,-28.306010123240235
3.5,1.0,1.0,-1.0,是,不限,动态止盈,367,56.675749318801095,4.5894330449290734,1684.32192748897,-45.67384261647172
3.5,2.0,1.0,-1.0,是,不限,动态止盈,362,56.62983425414365,4.583185759360824,1659.1132448886185,-45.67384261647172
