近期天数,最大涨幅,最小高开,企业类型,交易次数,胜率,平均收益,总收益,最大回撤
40,20,4.0,不限,559,79.96422182468694,5.149179768450352,2878.391490563747,-17.048579126725038
30,10,3.5,地方国有企业+中央国有企业,102,85.29411764705883,5.146609930576474,524.9542129188004,-3.6697247700000006
30,10,3.5,地方国有企业,102,85.29411764705883,5.146609930576474,524.9542129188004,-3.6697247700000006
20,15,3.0,地方国有企业,200,85.5,5.1328003531186255,1026.560070623725,-12.331141649114658
20,15,3.0,地方国有企业+中央国有企业,200,85.5,5.1328003531186255,1026.560070623725,-12.331141649114658
20,20,3.5,不限,900,79.77777777777779,5.122673189824721,4610.405870842249,-25.43969573586436
20,20,3.0,地方国有企业,254,83.46456692913385,5.101331467477477,1295.7381927392792,-12.331141649114654
20,20,3.0,地方国有企业+中央国有企业,254,83.46456692913385,5.101331467477477,1295.7381927392792,-12.331141649114654
40,25,4.0,不限,649,78.73651771956857,5.096178277902741,3307.419702358879,-20.809236393865675
30,20,3.5,地方国有企业,171,83.04093567251462,5.0851739411653964,869.5647439392828,-7.7526968945211685
30,20,3.5,地方国有企业+中央国有企业,171,83.04093567251462,5.0851739411653964,869.5647439392828,-7.7526968945211685
30,25,3.5,不限,855,78.47953216374269,5.070443804302478,4335.229452678619,-18.382403660103357
30,20,3.5,不限,746,78.9544235924933,5.067486443902055,3780.344887150933,-13.393307639591503
20,10,3.0,不限,616,80.68181818181817,5.067250487339995,3121.426300201437,-10.839829386674506
40,10,3.5,不限,435,82.5287356321839,5.0581497285134125,2200.2951319033345,-12.761142001924282
40,20,3.5,不限,644,79.96894409937887,5.052693936363513,3253.934895018102,-14.402593668044448
30,10,3.0,不限,570,81.22807017543859,5.0509561730556,2879.045018641692,-10.000000000000005
30,10,3.0,地方国有企业+中央国有企业,114,85.96491228070175,5.023743596846357,572.7067700404847,-3.669724770000012
30,10,3.0,地方国有企业,114,85.96491228070175,5.023743596846357,572.7067700404847,-3.669724770000012
40,15,3.5,不限,542,80.81180811808119,5.022838462545733,2722.3784466997877,-13.393307639591512
40,10,3.0,地方国有企业,120,85.83333333333333,4.99666105506287,599.5993266075444,-7.752696894521173
40,10,3.0,地方国有企业+中央国有企业,120,85.83333333333333,4.99666105506287,599.5993266075444,-7.752696894521173
20,25,3.5,不限,1102,78.13067150635209,4.988440940297664,5497.261916208026,-27.48487773300912
