high_threshold,low_min,low_max,high_sample,low_sample,high_next_return,low_next_return,switch_return,switch_5d_return,high_win_rate,low_win_rate
5,0,5,461846,91272,0.02330912695874827,0.2871641357960342,0.26385500883728596,1.0278627100961364,43.94884875044928,49.23306161802086
20,-5,10,54835,539947,-0.1056438205047244,0.15113902695167689,0.2567828474564013,1.9638589464763119,44.039390899972645,48.30122215698948
10,0,3,201419,78450,-0.011138225813178007,0.23975947628428676,0.25089770209746476,1.1034326889305537,43.70689954770901,48.93307839388145
20,-5,5,54835,531686,-0.1056438205047244,0.12614707854163432,0.23179089904635872,1.9233747210477752,44.039390899972645,48.10019447568678
20,-5,3,54835,518864,-0.1056438205047244,0.11500069674059879,0.2206445172453232,1.8725735700792132,44.039390899972645,48.02684325757809
20,-10,10,54835,797203,-0.1056438205047244,0.11326133123618289,0.2189051517409073,1.8460998126938024,44.039390899972645,48.52603414688605
5,0,3,461846,78450,0.02330912695874827,0.23975947628428676,0.2164503493255385,0.7810432116210058,43.94884875044928,48.93307839388145
15,-5,10,98326,539947,-0.05895353842605966,0.15113902695167689,0.21009256537773655,1.3646975276394946,44.06667615889999,48.30122215698948
20,-10,5,54835,788942,-0.1056438205047244,0.09602207064839877,0.20166589115312317,1.8175835160771,44.039390899972645,48.39291101246987
20,-10,3,54835,776120,-0.1056438205047244,0.08807263100244252,0.19371645150716693,1.781873389774098,44.039390899972645,48.34870896253157
15,-5,5,98326,531686,-0.05895353842605966,0.12614707854163432,0.18510061696769398,1.324213302210958,44.06667615889999,48.10019447568678
15,-5,3,98326,518864,-0.05895353842605966,0.11500069674059879,0.17395423516665845,1.273412151242396,44.06667615889999,48.02684325757809
15,-10,10,98326,797203,-0.05895353842605966,0.11326133123618289,0.17221486966224253,1.2469383938569851,44.06667615889999,48.52603414688605
10,-5,10,201419,539947,-0.011138225813178007,0.15113902695167689,0.16227725276485488,0.8451196026035301,43.70689954770901,48.30122215698948
15,-10,5,98326,788942,-0.05895353842605966,0.09602207064839877,0.15497560907445843,1.2184220972402826,44.06667615889999,48.39291101246987
15,-10,3,98326,776120,-0.05895353842605966,0.08807263100244252,0.14702616942850216,1.1827119709372806,44.06667615889999,48.34870896253157
10,-5,5,201419,531686,-0.011138225813178007,0.12614707854163432,0.13728530435481232,0.8046353771749933,43.70689954770901,48.10019447568678
5,-5,10,461846,539947,0.02330912695874827,0.15113902695167689,0.12782989999292863,0.5227301252939822,43.94884875044928,48.30122215698948
10,-5,3,201419,518864,-0.011138225813178007,0.11500069674059879,0.1261389225537768,0.7538342262064314,43.70689954770901,48.02684325757809
10,-10,10,201419,797203,-0.011138225813178007,0.11326133123618289,0.1243995570493609,0.7273604688210207,43.70689954770901,48.52603414688605
10,-10,5,201419,788942,-0.011138225813178007,0.09602207064839877,0.10716029646157678,0.6988441722043183,43.70689954770901,48.39291101246987
5,-5,5,461846,531686,0.02330912695874827,0.12614707854163432,0.10283795158288604,0.4822458998654454,43.94884875044928,48.10019447568678
10,-10,3,201419,776120,-0.011138225813178007,0.08807263100244252,0.09921085681562053,0.6631340459013163,43.70689954770901,48.34870896253157
5,-5,3,461846,518864,0.02330912695874827,0.11500069674059879,0.09169156978185052,0.43144474889688345,43.94884875044928,48.02684325757809
5,-10,10,461846,797203,0.02330912695874827,0.11326133123618289,0.08995220427743461,0.40497099151147276,43.94884875044928,48.52603414688605
5,-10,5,461846,788942,0.02330912695874827,0.09602207064839877,0.07271294368965049,0.3764546948947703,43.94884875044928,48.39291101246987
5,-10,3,461846,776120,0.02330912695874827,0.08807263100244252,0.06476350404369424,0.3407445685917683,43.94884875044928,48.34870896253157
